이름,플랫폼,작가,그림,장르,상태,요일,좋아요,별점,총화수,무료,줄거리,첫화링크
만능잡캐,naverseries,키보드만세,김대훈,소년,완결,수,24,9.5,118,7화,"좀비들로 뒤덮여버린 세상 그런데 이 아포칼립스 해볼만 하겠는데?[전문가에게서 스킬을 '전수'받을 수 있습니다] 멘탈케어, 목조건축, 천마신공, 동물교감, 기계공학, 연주 등등 배울 게 너무 많아서 문제다 뭐든 다 잘하는, 준비된 생존자의 질주가 시작된다접기",https://series.naver.com/comic/detail.series?productNo=6669424&sortOrder=DESC#priceInfo
옥타곤 리벤지,naverseries,꽁테,꽁테,소년,완결,수,9,9.3,50,7화,"""치고받고 서로가 피를 보는, 그딴 게 스포츠야?"" 목표가 없고 무미건조한 일상을 살아가던 하율은 친구 홍민과 코치 상준에 의해 인생의 터닝포인트를 맞이한다 어릴 적 아빠와의 추억이 담긴 격투기 하지만 격투기는 하율의 아빠를 죽음으로 몰아넣었다 아빠를 죽음으로 몰아넣은 장본인 존스 알베스에게 복수하기 위해 하율은 다시 글러브를 잡다 ""재능 위의 재능, 하율은 그 벽을 뚫을 수 있을까?""접기",https://series.naver.com/comic/detail.series?productNo=10046197&sortOrder=DESC#priceInfo
존잘주의,naverseries,령,령,순정,완결,21일,89,9.5,117,전화,외모로 고통받던 나에게 악마가 나타나 매력적인 제안을 한다클릭 한번으로 내가 원하는 외모로 만들 수 있다고?CUTE SEXY PURE LUXURY 스탯을 올려 원하는 외모를 만들라고?그런데 있잖아예뻐지기만 하면 행복해질 줄 알았는데그게 아닌걸까?접기,https://series.naver.com/comic/detail.series?productNo=6614529&sortOrder=DESC#priceInfo
학사신공 선계편,naverseries,왕위&단고월&경표,단고월&경표,무협,완결,2일,3,9.5,144,12화,천신만고 끝에 선계로 비승했지만 기억을 잃고 영환계로 떨어져버린 한립 영환계에서 부모를 잃은 요호 낙아를 구해주고 낙아와 함께 의원을 찾아 다니다 몸을 빼앗길 위기에 처하고 마는데…잃어버린 모든 기억을 되찾고 복수에 성공할 수 있을까?접기,https://series.naver.com/comic/detail.series?productNo=9751172&sortOrder=DESC#priceInfo
순정빌런,naverseries,세윤,세윤,순정,연재중,수,198,9.8,89,84화,"특수능력을 가진 범죄자를 상대하기 위한 특수경찰이 존재하는 세계 평화로운 나날을 보내던 최강의 특수경찰 '한도령'에게 감당할 수 없는 빌런이 찾아온다그런데 이 범죄자, 어딘가 이상하다?최강의 히어로를 사랑하는 최악의 빌런 '박로사'의 우당탕탕 사랑이야기접기",https://series.naver.com/comic/detail.series?productNo=8681330&sortOrder=DESC#priceInfo
"엔딩, 바꿔보려합니다",naverseries,모카빵,모카빵,순정,연재중,수,40,9.7,70,67화,"배드엔딩만 쓰는 피폐소설작가 변수아는누군가의 저주로 인해 현재 연재중인  ‘청춘의 끝에’의 악녀 최세화로 빙의된다인성파탄자, 소시오패스, 이중인격자, 싸이코패스뿐인 소설 속에서과연 수아는 살아서 원래 세계로 돌아갈 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=9083303&sortOrder=DESC#priceInfo
타임리스,naverseries,장윤민,임광묵,소년,완결,목,4,9.7,61,5화,"148, 149 150 150번째 생일을 축하합니다오늘 당신은 반/드/시 죽어야만 합니다 *** 먼 미래, 인류는 마침내 불로불사(不老不死)의 숙원을 이룬다인체 배양과 이식 기술은 인류에게 무한한 젊음을 선사했지만지구는 400억명이 넘는 인구를 감당할 수 없었고,영생은 곧 재앙으로 돌변했다 이에, 세계 정부는 인류 확산을 막고자사회적 지위고하를 막론한 150세는 죽는다는 특단의 법을 제정한다 - 당신은 150세 안락사 대상자입니다 저와 함께 가시지요- 동행하지 않는다면 즉결 처형입니다 영생을 갈망하는 '거부자' 에일리영원한 삶을 선사하는 동시에 생명을 빼앗는 '배양사' 에드워드이 세계에는 완벽한 선인도 악인도 없다 하지만, 인간의 존엄성이 짓밟혀진 세상은 분명히 잘못됐다 그들이 새롭게 만들어 나갈 세상은유한할 것인가, 무한할 것인가접기",https://series.naver.com/comic/detail.series?productNo=10053847&sortOrder=DESC#priceInfo
별을 삼킨 너에게,naverseries,ARI,ARI,순정,완결,28일,174,9.9,163,18화,"어둠 같은 현실 속에서도 우리가 빛나는 이유는, 저마다의 별을 품고 있어서가 아닐까? 별처럼 빛나는 우리들의 성장, 그리고 로맨스접기",https://series.naver.com/comic/detail.series?productNo=5216790&sortOrder=DESC#priceInfo
쉿! 페어링 중...,naverseries,해나,해나,순정,일시적 휴재,목,7,9.6,54,3화,"인간과 인공지능의 시대무용과 4학년 김구슬은 사교성 수업 과제 ai p234, 성진우와 페어링된다하지만 블루투스 불량으로 24시간 붙어있게 되는데엄격하고 냉정한 성진우 때문에 불안한 한편, 구슬은 두근거림을 느끼기도 한다이 과제 무사히 끝낼 수 있겠지?인간과 인공지능의 아찔한 캠퍼스 로맨스둘은 페어링 될 수 있을까?접기",https://series.naver.com/comic/detail.series?productNo=10146454&sortOrder=DESC#priceInfo
새동네,naverseries,림스,림스,드라마,일시적 휴재,목,20,10.0,39,34화,"오갈 데 없는 노인들이 산간벽지를 개간해 작은 마을 공동체를 이루며 살기 시작하였으니, 이름하여 새동네 어느 날, 새동네 일대가 신도시 재개발에 휩싸이고 부정한 세력들이 들어오자 마을의 평화와 존립을 위해 결국 노인들이 나서며 경고하는데… “잠 자는 사자의 코털은 건드는 게 아녀~”접기",https://series.naver.com/comic/detail.series?productNo=10278317&sortOrder=DESC#priceInfo
