이름,플랫폼,작가,그림,장르,상태,요일,조회수,좋아요,총화수,무료,무료주기,줄거리,키워드,첫화링크
불건전한 연애,kakaowebtoon,김강구,멍냥,로맨스,연재,화,127.2만,2만,45,3,3시간마다 무료,"“불건전한 관계 뒤에 마주하게 되는 건 지독히도 시린 현실이었다“살면서 손에 넣지 못한 게 없는 완벽한 남자, 문정후어느 날 갑자기 그의 품에 들어온 여자, 채하린그는 닿을 듯 닿지 않는 여자를 바라만 보았다아버지의 도박 빚에 팔려갈 위기에 놓인 하린을 구해낸 정후는그녀의 목숨값을 빌미로 밤마다 은밀한 업무를 시킨다몸을 건드리는 일도, 말을 거는 일도 없었다하린은 빚을 갚기엔 너무나도 편한 업무만 주어진 것이 감사한 한편으론 불편하기만 하다마음은 어떤 형태로든 숨기는 게 가능할지 모르나 몸은 솔직하다서로를 마음에 품고 있지만, 선뜻 다가서지 못하는 남녀불건전한 관계로 시작된 사이는 어쩐지 서로가 바라던 것과는 반대로 흘러가는데지극히 방어적인 여자와 사랑에 있어서 너무나 관대한 남자의 본격 삽질기운명으로 엮인 인연은 과연 사랑으로 이어질 수 있을까?""","에로틱한,몰입되는,로맨스,몸정>맘정",https://webtoon.kakao.com/content/%EB%B6%88%EA%B1%B4%EC%A0%84%ED%95%9C-%EC%97%B0%EC%95%A0/3741
안젤리카 : 우리 아내가 달라졌어요,kakaowebtoon,탄지,DY,로맨스 판타지,연재,목,21.8만,"8,048",51,4,1일마다 무료,"""안젤리카, 난 당신 아니면 결혼 못해""긴 짝사랑 끝에 결혼했지만 늘 무심하고 냉정했던 남편, 도미닉숙부의 반역, 천정부지로 쌓인 빚, 멸문당한 친정,견디다 못해 스스로 목숨을 끊고 난 후 회귀한 안젤리카 앞에 집착과 열기를 가득 머금고 전남편이 나타났다""저는 더 이상 소공작님을 사랑하지 않아요""""사랑해, 안젤리카 절대 실망시킬 일 없을거야""……아무래도 내 약혼자가 미쳤나 보다","귀여운,발랄한,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EC%95%88%EC%A0%A4%EB%A6%AC%EC%B9%B4-%EC%9A%B0%EB%A6%AC-%EC%95%84%EB%82%B4%EA%B0%80-%EB%8B%AC%EB%9D%BC%EC%A1%8C%EC%96%B4%EC%9A%94/3712
펜들턴 혁명,kakaowebtoon,파도,석부,드라마,시즌완결,수,27.3만,1.6만,47,3,1일마다 무료,"비밀 후원 관계에서 연인으로 발전해 동화 같은 세기의 로맨스를 장식한 ‘키다리 아저씨’ 이야기 하지만 늘 해피 엔딩만 있었을까?어느 날부터, 수도를 중심으로 연쇄살인사건이 일어나게 된다‘에드 유리네스’는 이 미스터리한 사건의 내막을 파해치기 위해 학생 수사단을 꾸리게 되는데, 알고보니 그녀는 이미 이 사건에 깊게 얽혀 있었다","몰입되는,공감되는,드라마,수사물",https://webtoon.kakao.com/content/%ED%8E%9C%EB%93%A4%ED%84%B4-%ED%98%81%EB%AA%85/3764
삼각산 선녀탕,kakaowebtoon,후렛샤,라희,로맨스,연재,수,46.6만,1.8만,50,51,연재 무료,"인간 나무꾼과 선녀 사이에 태어난 만년 무수리 후보생, 윤슬사기꾼 엄마로 인해 쫓기는 신세인 흙수저 인간, 남우삼각산을 호령하는 산신령 천상천하 유아독존 금수저, 후착한 청년 남우는 채권자를 피해 북한산에 올랐다 우연히 고라니를 구해주게 되고,하필 그날이 산신령 부임하는 날이라 선녀들이 목욕을 하러 하늘에서 내려오는데 그곳을 알려준다고?시대가 어느땐데 선녀복을 훔치라고?거부하던 남우는 그만 오해로 선녀복을 훔친 인간이 되어버리고이 절도는 고스란히 선녀복을 지키지 못했던 무수리 윤슬이 뒤집어 쓰게 되면서 선녀가 되는 길이 막혀 버린다한편 새로 부임한 산신령 후는 선녀복을 되찾아 파티에 드레스코드로 입고 들어온 윤슬에게 그만 반해 버리는데,정직한 남우도 오해를 풀고자 윤슬에게 접근하게 되면서 사랑을 느낀다그치만 윤슬은 다시 엄마처럼 인간을 사랑하고 싶지 않았기에 갈등을 겪고 혼란과 번뇌의 러브라인 속에서 고뇌하며 인간인 남우의 사랑을 받아들일지,산신령의 내리사랑을 받을지 행복한 선택의 기로 속에서 선녀 공개선발 오디션 <선녀프로듀스 4356>에 도전한다선녀와 나무꾼의 모티브를 현대적으로 각색해 자신의 노력으로 선녀가 되고픈 윤슬을 짝사랑하며 자신의 방식대로 돕는 산신령과 인간, 전혀 다른 신분을 지닌 이들의 티키타카 삼각관계 로맨스","웃기는,설레는,로맨스,로맨틱코미디물",https://webtoon.kakao.com/content/%EC%82%BC%EA%B0%81%EC%82%B0-%EC%84%A0%EB%85%80%ED%83%95/3635
당신의 이해를 돕기 위하여,kakaowebtoon,라뇽(각색),오션,로맨스 판타지,완결,3시간마다 무료,"4,381.4만",139.2만,162,3,3시간마다 무료,"왕녀인 바이올렛은 왕실의 막대한 빚을 갚아준윈터 블루밍과 결혼한다결혼식에서 처음 본 윈터에게 반한 바이올렛운이 좋다고 생각한 것도 잠시, 오빠인 에쉬가 왕실 해체를 선언하자사기꾼이라는 오명을 뒤집어쓴다 작위도 얻지 못하고 전 재산만 날린 윈터는결혼 첫날밤에도 집으로 돌아오지 않는다 지옥 같은 결혼생활을 한 지도 3년“저 바쁜 남자가 내 장례식엔 와줄까?”돈을 버는 데만 열중하고, 자신에겐 냉담하기만 한 윈터로 인해바이올렛은 점차 시들어 간다모든 것을 끝내리라 마음먹은 그때, 윈터와 몸이 뒤바뀌는데…“내가 정말 미쳐버렸나 봐, 이건 망상일까?”","우울한,가슴먹먹한,로맨스판타지,영혼체인지",https://webtoon.kakao.com/content/%EB%8B%B9%EC%8B%A0%EC%9D%98-%EC%9D%B4%ED%95%B4%EB%A5%BC-%EB%8F%95%EA%B8%B0-%EC%9C%84%ED%95%98%EC%97%AC/2480
감방에서 남자주인공을 만났습니다,kakaowebtoon,문시현,혜성,로맨스 판타지,시즌완결,수,398.6만,9.8만,42,3,1일마다 무료,"감방에서 남자 주인공을 만났다쟤가 19금 피폐 소설 남자 주인공이란 건 알겠는데…… 왜 저래?“왕 왕 왕 으르르르”정신만 짐승이 되는 저주에 걸렸다더니…… 그렇다고 저주에서 깨어난 모습은 어떠냐“채, 채, 책임질 거, 아니면, 소, 손대지 말,아요”그냥 남주랑 설렐 일은 없겠다 싶어 안심했다“1년 뒤 이, 이곳에서 벗어나는 날, 나…랑 만나주세요”만나는 거야 어렵지 않겠다 싶어 알겠노라고 했지그렇게 내가 먼저 출소를 했는데……***“어서 와 꽃처럼 사랑스러운 내 여동생”출소하는 날 내게 다가오는 남자로 알았다내가 악당의 여동생이었다는걸“나 대신 다녀오느라 고생 많았지? 너만을 기다렸어”…X발 그것도 남주와 철천지원수인 악당의 소중한 여동생이라고?***3년 뒤, 다시 만난 날 남주는 전혀 다른 얼굴로 웃었다“안녕, 이아나 지금부터 너를 납치할 거야”#감빵에서로맨스 #집착 #여주한정짐승남주 #진짜물어요 #사실은내가흑막여동생이었다 #남주와원수지간가문","설레는,귀여운,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EA%B0%90%EB%B0%A9%EC%97%90%EC%84%9C-%EB%82%A8%EC%9E%90%EC%A3%BC%EC%9D%B8%EA%B3%B5%EC%9D%84-%EB%A7%8C%EB%82%AC%EC%8A%B5%EB%8B%88%EB%8B%A4/3731
낭선기환담,kakaowebtoon,김순태,김순태,액션/무협,시즌완결,수,665.2만,24.9만,151,3,1일마다 무료,"호랑이로 환생하여, 영물이 되어 살아가던 산의 주인 산군평화롭게 살아가던 산군의 앞에 한 소녀가 찾아오게 된다 대뜸 지아비로 모시겠다고 하는 소녀 귀찮은 산군은 그녀를 내쫓으려고 하지만, 그녀는 돌아갈 곳이 없다결국 소녀를 거두기로 결심한 산군 그런 그에게 수많은 위협이 닥쳐오게 되는데…","환상적인,압도되는,액션/무협,환생물",https://webtoon.kakao.com/content/%EB%82%AD%EC%84%A0%EA%B8%B0%ED%99%98%EB%8B%B4/2496
킬러지만 공주로 살아볼까 해,kakaowebtoon,김예린/장유라,김예린/장유라,로맨스 판타지,완결,3시간마다 무료,17.8만,1.1만,101,3,3시간마다 무료,"전문 킬러였던 리에나는 낯선 세계에서 공주로 빙의해 깨어난다빙의를 눈치챈 약혼자는 한가지 계약을 통해 원래 세계로 돌아가게 해주겠다고 하지만, 계약내용이 한없이 이상하다게다가 소꿉친구인 소년백작 아르젠은 상냥한 눈빛으로 그녀를 이곳에 남고 싶게 만든다하지만 흔들린 것도 잠시, 자신을 소환한 자들의 암살 공격이 이어진다적인지 아군인지 모호한 두 남자의 미묘한 도움을 받으며 싸워나가던 리에나는 결국 소환의 비밀을 알아내는데","발랄한,긴장감있는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%ED%82%AC%EB%9F%AC%EC%A7%80%EB%A7%8C-%EA%B3%B5%EC%A3%BC%EB%A1%9C-%EC%82%B4%EC%95%84%EB%B3%BC%EA%B9%8C-%ED%95%B4/4047
공녀님의 위험한 오빠들,kakaowebtoon,기렴,기렴,로맨스 판타지,완결,1일마다 무료,351.6만,13.9만,103,3,1일마다 무료,"빈민가에서 술주정뱅이 삼촌 밑에서 자라며꽃을 팔아 겨우 먹고 살아왔던 레스티아빚 때문에 폭력배들에게 협박당하던 삼촌이,레스티아를 팔아버리려 하던 어느 날 밤“야, 손 치워”어디선가 나타난 아름다운 소년들그들은 폭력배들을 단번에 물리치고레스티아에게 믿을 수 없는 말을 건넨다“이제야 만나게 됐네, 내 동생우리는 네 오빠야”놀랍게도 그녀는 마법사를 대대로 배출한베르체스터 공작가의 딸이라는데…하지만 아무 증거도 없이 그 말을 믿긴 어렵다“자, 레스티아 집에 가자”하지만 일말의 희망이라도 붙잡고 싶었던 걸까그녀는 조금은 충동적으로, 소년들의 손을 잡는데…","따뜻한,귀여운,로맨스판타지,성공성장물",https://webtoon.kakao.com/content/%EA%B3%B5%EB%85%80%EB%8B%98%EC%9D%98-%EC%9C%84%ED%97%98%ED%95%9C-%EC%98%A4%EB%B9%A0%EB%93%A4/2907
얼어붙은 심장이 녹고 나면,kakaowebtoon,CHT,EON COMICS,로맨스 판타지,시즌완결,수,43만,1.5만,47,4,1일마다 무료,"세상을 위협하는 마력을 잠재우기 위해 제물로 희생당한 헤스티아전생의 기억을 간직한 채 백작가의 사생아, 세실리아로 환생했다자기 의지대로 살지 못했던 예전 삶은 이미 오래 전 끝난 일이었다전생에 그녀가 무엇이었든, 지금은 적녀인 언니의 시녀로 사는 것이것이 백작가의 사생아로 환생한 세실리아의 삶이었다그런데언니가 결혼하려는 남자, 킬리엔 야닉센 대공이 뜬금없이 세실리아와 혼인하겠노라 선언한다심지어 그 사람의 목소리에서 아주 오래전 들었던 목소리가 자꾸 겹쳐진다""당신 때문에 화가 나서 도무지 견딜 수가 없어요""""거부할 테면 해 보세요 나는 반드시 당신과 혼인할 거니까""전생과 똑같은 수법으로 다가오는 남자그의 끈질긴 요구와 집착이 자꾸만 과거의 삶을 떠오르게 하는데과연 세실리아는 과거의 아픔을 치유하고 자신의 진정한 삶과 사랑을 찾을 수 있을까?","가슴먹먹한,설레는,로맨스판타지,환생물",https://webtoon.kakao.com/content/%EC%96%BC%EC%96%B4%EB%B6%99%EC%9D%80-%EC%8B%AC%EC%9E%A5%EC%9D%B4-%EB%85%B9%EA%B3%A0-%EB%82%98%EB%A9%B4/3675
마이 디어 아스터,kakaowebtoon,어스레,몽소,로맨스 판타지,연재,수,114.8만,5.8만,66,3,3시간마다 무료,"몇 년 전에 딸이 말했다“엄마가 혹시 다시 살게 되면, 나 낳지 말아요”“갑자기 무슨 소리니, 그게?”“아빠 말고 더 좋은 사람 만나요있었다면서요, 첫사랑 다시 기회가 온다면 고백해 봐요”모녀는 같이 킥킥 웃었다그리고 리헨 코플런드는 잠에서 깨어났다 열아홉 살의 모습으로다시 살게 되었다고 인생이 크게 달라지지는 않았다하지만 딸을 조금 더 행복하게 해 줄 수 있을 것이다그러려면 남편과 다시 결혼해야 했다그러나 그 다짐은 곧 흔들리기 시작했다오랜 기억 속의 첫사랑,슈데르멜 라프트 경을 만나고부터","따뜻한,가슴먹먹한,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EB%A7%88%EC%9D%B4-%EB%94%94%EC%96%B4-%EC%95%84%EC%8A%A4%ED%84%B0/3255
귀신과 연애하기 시뮬레이션,kakaowebtoon,이브,플민,드라마,연재,수,12.7만,"7,444",30,3,1일마다 무료,"세상에서 귀신이 제일 무서운 쫄보남, ‘현은섭’,3년 전 사귀었던 여자친구 ‘김채나’가 귀신이 되어 제 눈앞에 나타났다다짜고짜 모든 것을 자신을 탓하며, 함께 가자고 때를 쓰는 ‘채나’ 때문에 ‘은섭’은 기절초풍,뒷목 잡고 쓰러질 기세다… 기억도 안나는 여자친구가 뭐가 어쩌고 저째? 귀신?아니, 그것보다 일단 네가 내 전 여자친구가 맞긴 한 거야?3년이 지나도록, 귀신이 남자의 양기를 받지 못하면 악귀가 된다고?도망가고 싶다가도 저런 신세가 안타까워 뭐라도 도와줄까 싶지만,이 막무가내 귀신 ‘채나’를 달래주기 여간 힘든 게 아니다과연, 쫄보 중 가장 쫄보 ‘현은섭’은자신의 전 여자친구라던 귀신 ‘김채나’를 무사히 성불시킬 수 있을까?","등골오싹한,웃기는,드라마,캠퍼스물",https://webtoon.kakao.com/content/%EA%B7%80%EC%8B%A0%EA%B3%BC-%EC%97%B0%EC%95%A0%ED%95%98%EA%B8%B0-%EC%8B%9C%EB%AE%AC%EB%A0%88%EC%9D%B4%EC%85%98/3972
만렙 플레이어의 100번째 회귀,kakaowebtoon,여운,덕프,학원/판타지,시즌완결,수,430만,13.2만,42,4,1일마다 무료,"전세계적으로 15세부터 29세는 무조건 참가해야 하는 총 20라운드의 데스게임 이 게임에 회귀특성으로 100번째 도전을 시작하게 된 주인공이 99번의 경험으로 얻은 정보를 이용해 남들보다 압도적으로 강해지는 사이다물 마지막 라운드의 조건이 최소 5명인 걸 깨닫고, 실패를 반복하지 않기 위해 필요한 인원들을 자신이 키우는 먼치킨 성장 스토리","압도되는,궁금하게하는,학원/판타지,성공성장물",https://webtoon.kakao.com/content/%EB%A7%8C%EB%A0%99-%ED%94%8C%EB%A0%88%EC%9D%B4%EC%96%B4%EC%9D%98-100%EB%B2%88%EC%A7%B8-%ED%9A%8C%EA%B7%80/3786
아델린의 깊은 밤,kakaowebtoon,무아,"햅스터, 치즈난",로맨스 판타지,완결,3일마다 무료,61.3만,2.7만,80,3,3일마다 무료,"사랑하는 남자에게 살해당한 아델린, 그러나 그 남자와의 결혼식 날로 다시 회귀했다또다시 죽음을 반복하지 않기 위한 아델린의 깊은 밤이 시작된다","설레는,몰입되는,로맨스판타지,타임슬립",https://webtoon.kakao.com/content/%EC%95%84%EB%8D%B8%EB%A6%B0%EC%9D%98-%EA%B9%8A%EC%9D%80-%EB%B0%A4/3223
금안의 바리,kakaowebtoon,하마오리,하마오리,판타지 드라마,연재,수,25.9만,"7,458",27,28,연재 무료,"천 년 전, ‘수명장자’를 앞세운 인간과 신들의 전쟁이 발발한다이 전쟁에서 유일하게 인간의 편에서 싸운 신이 있었으니,그녀의 이름은 ‘오구’신들에게 패배한 수명장자는만 개의 벌레로 쪼개져 세상에 흩어지고,오구신은 윤회의 굴레에 빠지는 벌을 받게 된다천년의 시간이 흘러 오구신은어린 소녀 '바리'의 몸으로 환생하고,수명장자 역시 부활의 조짐을 보인다참혹한 전쟁이 두 번 일어나선 안 된다수명장자의 계획을 막고 천지신을 찾기 위한바리와 오구의 여행이 시작되는데과연 바리는 이 여행에서 인간을 구하고자신의 존재를 증명할 수 있을까?","몰입되는,역동적인,판타지드라마,에피소드물",https://webtoon.kakao.com/content/%EA%B8%88%EC%95%88%EC%9D%98-%EB%B0%94%EB%A6%AC/3739
감금물의 하녀로 살아가기,kakaowebtoon,소이미디어,D.라노(소이미디어),로맨스 판타지,시즌완결,수,201.7만,6.7만,50,3,1일마다 무료,"대한민국의 평범한 회사원이던 나, '유정인'교통사고를 당하고 눈을 떠보니왕자를 탑에 가두고 유린한 하녀 '로제'가 되어 있었다왕자가 성 밖으로 나가는 순간 분명 난 죽은 목숨이야…“왕자님과 거래를 하고 싶습니다”동의 없는 스킨쉽 금지, 탑에서 나간 뒤 하녀 죽이지 않기서로 만족스러운 계약을 했다고 생각했는데…“우리 키스할까, 로제”왕자님의 상태가 이상해졌다 이 탑에서 무사히 살아서 나갈 수 있을까?","귀여운,설레는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EA%B0%90%EA%B8%88%EB%AC%BC%EC%9D%98-%ED%95%98%EB%85%80%EB%A1%9C-%EC%82%B4%EC%95%84%EA%B0%80%EA%B8%B0/3608
"레이디, 함께 가실까요?",kakaowebtoon,빛아름,스푼코믹스,로맨스 판타지,완결,1일마다 무료,30.1만,1.2만,65,3,1일마다 무료,"평생 충성을 바쳐 온 왕국으로부터 버림받은 기사, 아이린볼모가 되어 제국에 간 그녀의 앞에 황태자 카엘이 나타난다“당신의 남자가 되고 싶어요 결혼을 전제로 당신과 만나고 싶어”다짜고짜 첫눈에 반했다며 들이대는 그의 모습에 당황스러운 것도 잠시,아이린의 마음은 점차 흔들리기 시작하는데……“키스하고 싶어 해도 돼?”“명령인가요?”“아니”“그럼 부탁?”“아니”“그럼……”“내 마음, 당신 마음 그냥 그거”과연 카엘의 키스는 아이린의 마음을 사로잡을 수 있을까?","설레는,몰입되는,로맨스판타지,기사물",https://webtoon.kakao.com/content/%EB%A0%88%EC%9D%B4%EB%94%94-%ED%95%A8%EA%BB%98-%EA%B0%80%EC%8B%A4%EA%B9%8C%EC%9A%94/3429
무능력자,kakaowebtoon,비둘기,비둘기,판타지 드라마,완결,1일마다 무료,"2,082.1만",14.8만,55,9,1일마다 무료,초능력을 잃어버린 남자와 까칠한 시골 여자의 좌충우돌 동거 로맨스,"설레는,따뜻한,판타지드라마,동거물",https://webtoon.kakao.com/content/%EB%AC%B4%EB%8A%A5%EB%A0%A5%EC%9E%90/1441
검마도,kakaowebtoon,우각,마린,액션/무협,완결,1일마다 무료,159.3만,4.1만,70,3,1일마다 무료,"정검련과 집마천사이에 발생한 정마대전이 천하를 휩쓸던 시절평화로운 마을, 백리주의 소년 심호는 백리주를 빼앗기 위한 제갈휘의 음모에 빠지게 되어열두 살의 나이에 정마대전의 최전선인 천일평에 끌려가게 된다처절한 전투 속에서 흑우(黑牛)를 만나게 되어그들의 동료가 되고, 무공을 배우며 성장해 나아가게 되며자신의 고향, 백리주로 돌아가기 위한 험난한 여정이 시작되는데","처절한,몰입되는,액션/무협,전쟁물",https://webtoon.kakao.com/content/%EA%B2%80%EB%A7%88%EB%8F%84/3419
인소의 법칙,kakaowebtoon,아현,아현,로맨스,시즌완결,수,"1,654.9만",76.7만,213,4,1일마다 무료,"인터넷 소설 읽기가 취미였던 평범한 학생 함단이 어느 날 자고 일어나니 옆집에는 아주 예쁜 여학생 반여령이, 학교에는 그 이름도 무시무시한 사대천왕이 나타났다  하루아침에 소설처럼 뒤바뀐 세계, 그리고 함단이의 역할은 다름 아닌 여주인공 소꿉친구 중 하나  [인터넷 소설의 법칙] 여주 친구는 각종 위험에 휩싸인다","발랄한,몰입되는,로맨스,차원이동물",https://webtoon.kakao.com/content/%EC%9D%B8%EC%86%8C%EC%9D%98-%EB%B2%95%EC%B9%99/2334
악녀님에겐 새 남편 따위 필요하지 않아요!,kakaowebtoon,남도겸,주상,로맨스 판타지,시즌완결,수,183.1만,5.8만,51,52,연재 무료,"뭐 이런 개 같은 경우가 다 있지?""제 신랑이 될 사람은 이미 죽고 없잖아요""어이없이 죽은 것도 억울한데, 악녀에게 빙의 했다그것도 하필이면 ‘영혼 결혼식'을 올리던 도중에가진 거라곤 개복치인 몸과 낡아빠진 저택 뿐,아니, 죽은 신랑이 부자도 아닌데 심지어 빚도 있다고?원작이고 나발이고 내 살길부터 찾아야지그러던 중 죽은 남편의 친우라며 찾아온 피츠렌 공작따뜻한 목욕물, 아이스 아메리카노까지 척척 만들어현대인의 심금을 울리는 이 남자라면,이 험한 세상 헤쳐 나갈 좋은 방패가 되어줄 수 있을 것 같은데…""제 가짜 정부가 되어주세요""","통쾌한,웃기는,로맨스판타지,로맨틱코미디물",https://webtoon.kakao.com/content/%EC%95%85%EB%85%80%EB%8B%98%EC%97%90%EA%B2%90-%EC%83%88-%EB%82%A8%ED%8E%B8-%EB%94%B0%EC%9C%84-%ED%95%84%EC%9A%94%ED%95%98%EC%A7%80-%EC%95%8A%EC%95%84%EC%9A%94/3466
누군가 내 몸에 빙의했다,kakaowebtoon,"탐성, KALTA",KALTA,로맨스 판타지,시즌완결,수,489.9만,15.1만,45,3,1일마다 무료,"지난 10년, 누군가가 내 몸에 빙의했다 곱게 쓰고 돌려줬다면 좋았을 텐데 '그 애'는내 몸으로 멋대로 결혼을 한 것도 모자라,남편에게 스토커처럼 매달려 왔다?""일단은, 이혼부터 하자""그동안 나를 헌신짝 취급한 남편,오물 취급했던 가족들, 다 버리고 새 시작을 하려고 했다그런데“떠난다고요? 당신이, 내 곁을?”내 말을 믿지 않는 남편과“왜 편애하십니까, 누님?”뜬금없이 질투하는 남동생“이 집에 계속 머물러라 너는 어디에도 갈 수 없다”줄곧 날 미워했으면서, 갑자기 집착하는 아빠까지?다들 갑자기 왜 이래?*작품 내 등장하는 한의학 지식은 소설에 맞추어 재구성, 각색되었습니다*","몰입되는,긴장감있는,로맨스판타지,막장드라마",https://webtoon.kakao.com/content/%EB%88%84%EA%B5%B0%EA%B0%80-%EB%82%B4-%EB%AA%B8%EC%97%90-%EB%B9%99%EC%9D%98%ED%96%88%EB%8B%A4/3533
꽃길까지 앞으로 한걸음,kakaowebtoon,죤,죤,로맨스 판타지,시즌완결,수,128.3만,7.2만,98,3,1일마다 무료,"평생 힘을 뽑히며 살다가 결국 열여섯 살에 죽었다그렇게 모든 것이 끝난 줄 알았는데눈을 뜨니 과거로 돌아와 있었다다시 시작된 제물로서의 삶이번에도 평생 고통만 느끼다가 죽을 줄 알았는데갑자기 내 앞에 한 번도 본 적 없던 아빠가 나타났다나처럼 내 존재를 전혀 몰랐던 아빠가* * *“내 힘은 언제 가져갈 거야?”이반나의 말에 단테의 두 눈이 크게 흔들렸다“다들 그랬어 당신은 언제 가져가?”“……나는, 가져가지 않을 거다”“왜?”이반나는 이해할 수 없었다 모두가 제힘을 탐냈다인간을 위해 신께서 보내 주신 제물이라며 모두가 가지고 싶어 했다그런데 왜 이 사람은 거부하는 걸까?“이제는 누구도 네 힘을 빼앗아 가지 못할 거다 누구도 너를 괴롭히지 못할 거다 내가 너를 지켜 주겠다”“내 힘을 가져가겠다는 거네”“그러지 않는다고……”“다들 그렇게 말하면서 내 힘을 뽑아 갔어 날 감옥에 가둬 두고”고작 다섯 살의 아이가 한 말이라기엔 너무 잔혹했다 하지만 어린 이반나의 얼굴은 아무런 감정도 깃들어 있지 않았다 그게 당연하다는 듯완전히 망가져 버린 딸의 모습에 결국 단테는 완전히 무너져 내렸다","귀여운,가슴먹먹한,로맨스판타지,힐링물",https://webtoon.kakao.com/content/%EA%BD%83%EA%B8%B8%EA%B9%8C%EC%A7%80-%EC%95%9E%EC%9C%BC%EB%A1%9C-%ED%95%9C-%EA%B1%B8%EC%9D%8C/2845
무한의 마법사,kakaowebtoon,kiraz(REDICE STUDIO),테미스,학원/판타지,시즌완결,수,685.2만,25.9만,65,3,1일마다 무료,"마굿간에 버려져 평민으로 키워진 아이, 시로네 타고난 통찰력으로 글까지 깨우친 아이는도시로 나간 어느 날 그토록 궁금해하던 마법을 경험한다 그 길로 마법사를 꿈꾸게 된 시로네하지만 신분의 장벽이 두터운 이 곳은 아이에게 냉혹하고,그는 채 어른이 되기도 전에 이 세상의 이면을 알아버리는데··· 어딘가 비틀어진 이 세계에서그는 자신이 꿈꾸던 마법사가 될 수 있을까?","궁금하게하는,몰입되는,학원/판타지,성공성장물",https://webtoon.kakao.com/content/%EB%AC%B4%ED%95%9C%EC%9D%98-%EB%A7%88%EB%B2%95%EC%82%AC/3211
"작가님, 이번 생은 여주인공입니다",kakaowebtoon,SAN,이리타,로맨스 판타지,완결,1일마다 무료,128.8만,3.7만,74,3,1일마다 무료,"""작가님은 아무래도 손으로 글 쓰는게 어려우신 것 같으니, 이번엔 직접 발로 뛰며 써보시는 게 좋을 것 같아요""자칭 내 팬이라는 신의 손에 끌려와 연중했던 소설 속 조연으로 빙의했다“죽을 각오로, 아니 살아남을 각오로 꼭 완결을 지으세요”소설을 완결시키지 못하면 죽음뿐이라는 신의 협박에 열일하던 중,여주인공이 내 눈앞에서 죽어버렸다?결국엔 대신 여주인공 대타로 구르게 된 작가가 펼치는 모험, 로맨스, 그리고 처절한 몸부림?","몰입되는,궁금하게하는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EC%9E%91%EA%B0%80%EB%8B%98-%EC%9D%B4%EB%B2%88-%EC%83%9D%EC%9D%80-%EC%97%AC%EC%A3%BC%EC%9D%B8%EA%B3%B5%EC%9E%85%EB%8B%88%EB%8B%A4/3513
계약 부부는 밤마다,kakaowebtoon,코리,라다,로맨스 판타지,연재,금,151.1만,4.3만,68,3,1일마다 무료,친부에게 방치된 채 자라던 이네스는그녀의 가능성을 알아본 양부에 의해 공작가에 입양된다 하지만 그녀의 능력은 발현되지 않았고그녀에게 유일한 빛이었던 여동생마저 죽은 뒤우연히 가문에 저주가 내려진 것을 알게 되는데… 그 저주를 풀 유일한 실마리가 자신임을 알게 된 이네스는 신탁의 내용에 따라 잔혹하기로 소문난 알제르트 공작과 결혼해야 한다,"에로틱한,설레는,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EA%B3%84%EC%95%BD-%EB%B6%80%EB%B6%80%EB%8A%94-%EB%B0%A4%EB%A7%88%EB%8B%A4/3160
만렙으로 사는 법,kakaowebtoon,Team.SC4B,Team.SC4B,로맨스 판타지,시즌완결,수,111만,5.4만,79,3,3일마다 무료,"스쳐도 크리티컬, 평타가 안 나가서 괴로운 만렙여신 강림게임 속 세계로 떨어진 그녀 X 신비주의 순정 꽃사슴남이 펼치는스트레스 프리・판타스틱・모험・로맨스실수로 클릭한 퀘스트창 때문에 이계로 소환당했다현실 같은 환상을 제공하는 게임 <아르카디아 온라인>닉네임 ‘혼세마왕’ 주세영은 졸지에 이세계 ‘아르카디아’로 떨어진다혼란스러움도 잠시, 만렙유저인 그녀에게 이세계 공략은 식은 죽 먹기귀여운 파티원들도 모으고, 던전 부숴 보물도 얻고, 청순가련한 미모의 꽃사슴남 ‘카라드’와 썸도 타는 그녀하지만 세영의 원세계 귀환을 조건으로 건 ‘주신’의 퀘스트는세영과 동료들을 장대하고 어두운 음모 속으로 얽어들어 간다게다가 퀘스트를 완료하려면 카라드를 희생할 수밖에 없다고……?레전드급 난관의 연속을 그녀는 돌파할 수 있을까?","압도되는,몰입되는,로맨스판타지,레이드물",https://webtoon.kakao.com/content/%EB%A7%8C%EB%A0%99%EC%9C%BC%EB%A1%9C-%EC%82%AC%EB%8A%94-%EB%B2%95/3504
